controller,seed,survived,collapse_time,peak_A,min_temp,max_density,unsafe_time,control_energy,fusion_yield,yield_per_energy
PID,0,0,8.499,1.5513400792383554,0.7457062573122598,1.1593578860308036,6.269000000000428,5.770504259796927,2.1378277386337334,0.3704750299133289
PID,1,0,8.448,1.550534887600715,0.7715817472164224,1.1426841814939486,4.860999999999958,4.827961359192109,2.4984514473446877,0.517496156440919
PID,2,0,8.663,1.550092004003388,0.7880129605445487,1.1302984248482373,3.2569999999997523,6.117291417279896,2.6488299366058445,0.4330069887941781
PID,3,0,8.488,1.5503839028293953,0.7615989750426861,1.148444735171923,5.907000000000307,5.489610419323194,2.3622648675308526,0.4303155755434786
PID,4,0,8.738,1.5500300805662015,0.8271659464348723,1.1034673017824401,2.153999999999874,5.945557846476026,3.76543443980109,0.6333189477585472
PID,5,0,8.478,1.5505377920031789,0.7563920775287947,1.1523154060298706,5.5870000000002005,5.382186061357821,2.421848840215858,0.4499749380932583
PID,6,0,8.689,1.5500103318322525,0.7550606180416316,1.156042419697466,5.869000000000295,5.975323163465648,2.281357041903268,0.3817964282618481
PID,7,0,8.571,1.5503510907356726,0.718038234335504,1.1811416871554634,7.455000000000824,6.128835960730883,1.5341132212807669,0.25031070024714913
PID,8,0,8.502,1.5501771502376953,0.7548711226640239,1.155023133071092,6.2430000000004195,5.263887879908596,2.1792718050317097,0.41400422165822176
PID,9,0,8.502,1.5506767929349112,0.7584052580525912,1.1526147706520338,5.8840000000003,5.157656420202696,2.371894084295359,0.4598782645824758
PID,10,0,8.429,1.551129004421489,0.7215834125430837,1.1760122963712694,7.006000000000674,5.665288384656628,1.5288603723906513,0.2698645273312862
PID,11,0,8.491,1.550978031283066,0.7550290330221777,1.1533484474484903,5.811000000000275,5.417089073069229,2.4255180489664987,0.4477530304194332
PID,12,0,8.471,1.5501237424529561,0.8586050351661597,1.0763846113265925,2.035999999999887,5.232296849885592,4.6243949008567,0.8838173812852378
PID,13,0,8.537,1.5500483467776982,0.7628605477486974,1.1486928875238394,5.428000000000147,5.65581369131409,2.4688466760942656,0.43651485186813693
PID,14,0,8.574,1.5502004602125268,0.762201579787729,1.1463421040101884,6.1170000000003775,6.427610449864597,2.3148410365715417,0.36014021917898986
PID,15,0,8.441,1.5500790872258814,0.7460905009372504,1.1611975365010634,6.648000000000555,5.024212508065238,2.0057047787458644,0.39920779129603906
PID,16,0,8.396,1.5517214511065638,0.7789375668523973,1.1350831572556592,4.659999999999891,5.045581751289037,2.7815014132457683,0.5512746695629063
PID,17,0,8.532,1.550575413647264,0.8452168853187128,1.0843462901667469,2.9029999999997913,6.05566159318594,4.381036050657643,0.7234611747234836
PID,18,0,8.464,1.5505160149158776,0.7417762316293374,1.1605245596942084,6.257000000000424,5.851568243748097,1.9325673298400718,0.3302648536269898
PID,19,0,8.625,1.5501492347342636,0.7420335894617948,1.1640264832034877,5.741000000000252,6.049008463624681,2.1524716494204115,0.3558387563859963
PID,20,0,8.695,1.5505884524960527,0.7300316047414672,1.1746769138584314,7.081000000000699,6.017633990384154,1.8137427891177955,0.30140463705746334
PID,21,0,8.540000000000001,1.5509633757862396,0.7654121298928498,1.1456109777415786,6.130000000000382,5.556365512798516,2.570153501219269,0.4625601924201395
PID,22,0,8.575000000000001,1.5505409888053883,0.8152860646695997,1.110416929717445,3.222999999999756,5.322555048984134,3.5374411797241643,0.6646133570257219
PID,23,0,8.58,1.5506531667957342,0.820042554798706,1.1069630610997399,3.9809999999996726,5.370424366421819,4.04103286332072,0.7524606226343152
PID,24,0,8.712,1.5514568431603084,0.760910036153409,1.150915613026757,5.354000000000123,6.195543713347262,2.847214739017176,0.45955849402269083
